Poke,Vice,Hex,Rev
196,{$84},44,R
197,{f1},45,R
198,{f3},46,R
199,{f5},47,R
200,{f7},48,R
201,{f2},49,R
202,{f4},4A,R
203,{f6},4B,R
204,{f8},4C,R
205,{stret},4D,R
206,{swuc},4E,R
207,{$8f},4F,R
208,{blk},50,R
209,{up},51,R
210,{rvof},52,R
211,{clr},53,R
212,{inst},54,R
213,{brn},55,R
214,{lred},56,R
215,{gry1},57,R
216,{gry2},58,R
217,{lgrn},59,R
218,{lblu},5A,R
219,{gry3},5B,R
220,{pur},5C,R
221,{left},5D,R
222,{yel},5E,R
223,{cyn},5F,R
,,60,R
,,61,R
,,62,R
,,63,R
,,64,R
,,65,R
,,66,R
,,67,R
,,68,R
,,69,R
,,6A,R
,,6B,R
,,6C,R
,,6D,R
,,6E,R
,,6F,R
,,70,R
,,71,R
,,72,R
,,73,R
,,74,R
,,75,R
,,76,R
,,77,R
,,78,R
,,79,R
,,7A,R
,,7B,R
,,7C,R
,,7D,R
,,7E,R
,,7F,R
,,80,R
,,81,R
,,82,R
,,83,R
,,84,R
,,85,R
,,86,R
,,87,R
,,88,R
,,89,R
,,8A,R
,,8B,R
,,8C,R
,,8D,R
,,8E,R
,,8F,R
,,90,R
,,91,R
,,92,R
,,93,R
,,94,R
,,95,R
,,96,R
,,97,R
,,98,R
,,99,R
,,9A,R
,,9B,R
,,9C,R
,,9D,R
,,9E,R
,,9F,R
,,A0,R
,,A1,R
,,A2,R
,,A3,R
,,A4,R
,,A5,R
,,A6,R
,,A7,R
,,A8,R
,,A9,R
,,AA,R
,,AB,R
,,AC,R
,,AD,R
,,AE,R
,,AF,R
,,B0,R
,,B1,R
,,B2,R
,,B3,R
,,B4,R
,,B5,R
,,B6,R
,,B7,R
,,B8,R
,,B9,R
,,BA,R
,,BB,R
,,BC,R
,,BD,R
,,BE,R
,,BF,R
,,C0,R
,,C1,R
,,C2,R
,,C3,R
,,C4,R
,,C5,R
,,C6,R
,,C7,R
,,C8,R
,,C9,R
,,CA,R
,,CB,R
,,CC,R
,,CD,R
,,CE,R
,,CF,R
,,D0,R
,,D1,R
,,D2,R
,,D3,R
,,D4,R
,,D5,R
,,D6,R
,,D7,R
,,D8,R
,,D9,R
,,DA,R
,,DB,R
,,DC,R
,,DD,R
,,DE,R
,,DF,R
,,E0,R
,,E1,R
,,E2,R
,,E3,R
,,E4,R
,,E5,R
,,E6,R
,,E7,R
,,E8,R
,,E9,R
,,EA,R
,,EB,R
,,EC,R
,,ED,R
,,EE,R
,,EF,R
,,F0,R
,,F1,R
,,F2,R
,,F3,R
,,F4,R
,,F5,R
,,F6,R
,,F7,R
,,F8,R
,,F9,R
,,FA,R
,,FB,R
,,FC,R
,,FD,R
,,FE,R
,,FF,R
